dias,f,n_base,snapshot
0,0.004101898542010228,1343768,2026-07-12
1,0.022835042953843223,1343768,2026-07-12
2,0.05365211852045889,1343768,2026-07-12
3,0.08951396371992784,1343768,2026-07-12
4,0.12778768358823844,1343768,2026-07-12
5,0.16605991510439302,1343768,2026-07-12
6,0.20517604229301487,1343768,2026-07-12
7,0.24693176203035047,1343768,2026-07-12
8,0.28705475945252457,1343768,2026-07-12
9,0.3241124956093611,1343768,2026-07-12
10,0.3586928696024909,1343768,2026-07-12
11,0.3901759827589286,1343768,2026-07-12
12,0.4188729006792839,1343768,2026-07-12
13,0.44535663894362715,1343768,2026-07-12
14,0.47104262045233997,1343768,2026-07-12
15,0.4948383947228986,1343768,2026-07-12
16,0.5165981032440123,1343768,2026-07-12
17,0.5369036917086878,1343768,2026-07-12
18,0.5553540492108757,1343768,2026-07-12
19,0.5723123336766466,1343768,2026-07-12
20,0.5884989075495175,1343768,2026-07-12
21,0.6042330223669562,1343768,2026-07-12
22,0.6186387828851408,1343768,2026-07-12
23,0.6320614868042698,1343768,2026-07-12
24,0.6449885694554417,1343768,2026-07-12
25,0.6569288746271678,1343768,2026-07-12
26,0.6678660304457317,1343768,2026-07-12
27,0.6782733328967501,1343768,2026-07-12
28,0.6886106827964351,1343768,2026-07-12
29,0.6983154830298087,1343768,2026-07-12
30,0.7076578695131898,1343768,2026-07-12
31,0.716507611432926,1343768,2026-07-12
32,0.7249026617689959,1343768,2026-07-12
33,0.732704603770889,1343768,2026-07-12
34,0.7402639443713498,1343768,2026-07-12
35,0.7479445856725268,1343768,2026-07-12
36,0.7551474659316192,1343768,2026-07-12
37,0.7619179798893857,1343768,2026-07-12
38,0.7681876633466491,1343768,2026-07-12
39,0.7740956772299981,1343768,2026-07-12
40,0.779512534901858,1343768,2026-07-12
41,0.7847946967035977,1343768,2026-07-12
42,0.7900850444421954,1343768,2026-07-12
43,0.7951729762875734,1343768,2026-07-12
44,0.8000503063028737,1343768,2026-07-12
45,0.8048100564978479,1343768,2026-07-12
46,0.8092639503247584,1343768,2026-07-12
47,0.8135615671752862,1343768,2026-07-12
48,0.8176910002321829,1343768,2026-07-12
49,0.8218189449369236,1343768,2026-07-12
50,0.8257958218978276,1343768,2026-07-12
51,0.8297362342309089,1343768,2026-07-12
52,0.8335866012585506,1343768,2026-07-12
53,0.8372196688714123,1343768,2026-07-12
54,0.8406428788302742,1343768,2026-07-12
55,0.8441903661941644,1343768,2026-07-12
56,0.8475614838275655,1343768,2026-07-12
57,0.8510859017330372,1343768,2026-07-12
58,0.8545202743330694,1343768,2026-07-12
59,0.8578854385578463,1343768,2026-07-12
60,0.8610973025105524,1343768,2026-07-12
61,0.8642101910448827,1343768,2026-07-12
62,0.8670760131213127,1343768,2026-07-12
63,0.8699805323537991,1343768,2026-07-12
64,0.872795006280846,1343768,2026-07-12
65,0.8755655738192902,1343768,2026-07-12
66,0.8781850736138976,1343768,2026-07-12
67,0.8807785272457745,1343768,2026-07-12
68,0.883238029183609,1343768,2026-07-12
69,0.88571762387555,1343768,2026-07-12
70,0.8880885688601009,1343768,2026-07-12
71,0.8903426782004037,1343768,2026-07-12
72,0.8925543695042597,1343768,2026-07-12
73,0.8946819689113001,1343768,2026-07-12
74,0.8967306856540712,1343768,2026-07-12
75,0.8987332634800055,1343768,2026-07-12
76,0.9006539819373582,1343768,2026-07-12
77,0.9025620494013847,1343768,2026-07-12
78,0.9044410939983688,1343768,2026-07-12
79,0.9061757684362182,1343768,2026-07-12
80,0.9079149079305356,1343768,2026-07-12
81,0.9096190711491865,1343768,2026-07-12
82,0.9112637002815962,1343768,2026-07-12
83,0.9128800507230415,1343768,2026-07-12
84,0.9146013299914866,1343768,2026-07-12
85,0.9162682844062368,1343768,2026-07-12
86,0.9179419364056891,1343768,2026-07-12
87,0.91953744991695,1343768,2026-07-12
88,0.9211210566109626,1343768,2026-07-12
89,0.9227188026504575,1343768,2026-07-12
90,0.9243984080585339,1343768,2026-07-12
91,0.9260906644599365,1343768,2026-07-12
92,0.9278149204326938,1343768,2026-07-12
93,0.9294714563823517,1343768,2026-07-12
94,0.9310572956045984,1343768,2026-07-12
95,0.9325709497472778,1343768,2026-07-12
96,0.9339580939566949,1343768,2026-07-12
97,0.9353258895880836,1343768,2026-07-12
98,0.9366862434586922,1343768,2026-07-12
99,0.937997481708152,1343768,2026-07-12
100,0.9394158813128457,1343768,2026-07-12
101,0.9407754910073762,1343768,2026-07-12
102,0.942083008376446,1343768,2026-07-12
103,0.9432595507557853,1343768,2026-07-12
104,0.9444413023676707,1343768,2026-07-12
105,0.945673657952861,1343768,2026-07-12
106,0.9468263866977038,1343768,2026-07-12
107,0.947941906638646,1343768,2026-07-12
108,0.9490924028552548,1343768,2026-07-12
109,0.950157318822892,1343768,2026-07-12
110,0.9511671657607563,1343768,2026-07-12
111,0.9522157098546773,1343768,2026-07-12
112,0.9533089045132791,1343768,2026-07-12
113,0.954355960255044,1343768,2026-07-12
114,0.9553925975317168,1343768,2026-07-12
115,0.9564158396389854,1343768,2026-07-12
116,0.957390710301183,1343768,2026-07-12
117,0.9584102315280614,1343768,2026-07-12
118,0.9594200784659257,1343768,2026-07-12
119,0.9604410880449601,1343768,2026-07-12
120,0.9614487024545904,1343768,2026-07-12
121,0.9624652469771567,1343768,2026-07-12
122,0.9634267224699502,1343768,2026-07-12
123,0.9643256871721905,1343768,2026-07-12
124,0.9652573956218633,1343768,2026-07-12
125,0.9661652904370397,1343768,2026-07-12
126,0.9671483470360955,1343768,2026-07-12
127,0.9680793113096904,1343768,2026-07-12
128,0.9689931595334909,1343768,2026-07-12
129,0.969827380916944,1343768,2026-07-12
130,0.970656393067851,1343768,2026-07-12
131,0.9714891260991481,1343768,2026-07-12
132,0.9722444648183317,1343768,2026-07-12
133,0.9730392448696501,1343768,2026-07-12
134,0.9738518851468408,1343768,2026-07-12
135,0.9745618291252657,1343768,2026-07-12
136,0.9752315875954778,1343768,2026-07-12
137,0.9758700906704133,1343768,2026-07-12
138,0.9764751058218383,1343768,2026-07-12
139,0.9770838418536533,1343768,2026-07-12
140,0.977672485131362,1343768,2026-07-12
141,0.978171827279709,1343768,2026-07-12
142,0.9787046573515666,1343768,2026-07-12
143,0.9792553476492966,1343768,2026-07-12
144,0.9798172005881968,1343768,2026-07-12
145,0.9803239844973239,1343768,2026-07-12
146,0.980822582469593,1343768,2026-07-12
147,0.9813531800132166,1343768,2026-07-12
148,0.9819075911913366,1343768,2026-07-12
149,0.9824359562067262,1343768,2026-07-12
150,0.9829486935244774,1343768,2026-07-12
151,0.9834554774336046,1343768,2026-07-12
152,0.983971935631746,1343768,2026-07-12
153,0.9844995564710575,1343768,2026-07-12
154,0.9850614094099577,1343768,2026-07-12
155,0.9856009370665174,1343768,2026-07-12
156,0.9861493948360134,1343768,2026-07-12
157,0.9866911550208072,1343768,2026-07-12
158,0.9871473349566294,1343768,2026-07-12
159,0.98761914259009,1343768,2026-07-12
160,0.9880983919843306,1343768,2026-07-12
161,0.9886275011757982,1343768,2026-07-12
162,0.9890903786963225,1343768,2026-07-12
163,0.9895614421537051,1343768,2026-07-12
164,0.9900153895612933,1343768,2026-07-12
165,0.9904224538759667,1343768,2026-07-12
166,0.9908302623667181,1343768,2026-07-12
167,0.9911949086449446,1343768,2026-07-12
168,0.9915692292121855,1343768,2026-07-12
169,0.9919137827363057,1343768,2026-07-12
170,0.9922278250412273,1343768,2026-07-12
171,0.9925694018610355,1343768,2026-07-12
172,0.9929161879133898,1343768,2026-07-12
173,0.9932168350489072,1343768,2026-07-12
174,0.9934966452542403,1343768,2026-07-12
175,0.99380771085485,1343768,2026-07-12
176,0.9940934744688071,1343768,2026-07-12
177,0.9943732846741402,1343768,2026-07-12
178,0.9946263045406648,1343768,2026-07-12
179,0.9949023938656077,1343768,2026-07-12
180,0.9951531812038983,1343768,2026-07-12
181,0.9954054568943449,1343768,2026-07-12
182,0.9956755928106638,1343768,2026-07-12
183,0.9959405194944365,1343768,2026-07-12
184,0.9962166088193796,1343768,2026-07-12
185,0.9964763262706062,1343768,2026-07-12
186,0.996740508778301,1343768,2026-07-12
187,0.9970195748075561,1343768,2026-07-12
188,0.9972778039066268,1343768,2026-07-12
189,0.9975315679492294,1343768,2026-07-12
190,0.9977682159420376,1343768,2026-07-12
191,0.998010073167392,1343768,2026-07-12
192,0.9982400235754981,1343768,2026-07-12
193,0.9984692298075263,1343768,2026-07-12
194,0.9986999243917105,1343768,2026-07-12
195,0.9989149912782563,1343768,2026-07-12
196,0.9991062445303058,1343768,2026-07-12
197,0.9993332182340999,1343768,2026-07-12
198,0.9995482851206459,1343768,2026-07-12
199,0.9997700495918939,1343768,2026-07-12
200,1.0,1343768,2026-07-12
