cod6,cod7,nome,uf,populacao,fonte
530010,5300108,Brasília,DF,2982818,Estimativa IBGE 2024
520010,5200100,Abadiânia,GO,17638,Estimativa IBGE 2024
520030,5200308,Alexânia,GO,28009,Estimativa IBGE 2024
520060,5200605,Alto Paraíso de Goiás,GO,10936,Estimativa IBGE 2024
520080,5200803,Alvorada do Norte,GO,8597,Estimativa IBGE 2024
520320,5203203,Barro Alto,GO,10738,Estimativa IBGE 2024
520400,5204003,Cabeceiras,GO,7678,Estimativa IBGE 2024
520530,5205307,Cavalcante,GO,9721,Estimativa IBGE 2024
520549,5205497,Cidade Ocidental,GO,98963,Estimativa IBGE 2024
520551,5205513,Cocalzinho de Goiás,GO,26638,Estimativa IBGE 2024
520580,5205802,Corumbá de Goiás,GO,10714,Estimativa IBGE 2024
520620,5206206,Cristalina,GO,65705,Estimativa IBGE 2024
520790,5207907,Flores de Goiás,GO,14156,Estimativa IBGE 2024
520800,5208004,Formosa,GO,120478,Estimativa IBGE 2024
520860,5208608,Goianésia,GO,77014,Estimativa IBGE 2024
521250,5212501,Luziânia,GO,218872,Estimativa IBGE 2024
521305,5213053,Mimoso de Goiás,GO,2633,Estimativa IBGE 2024
521460,5214606,Niquelândia,GO,34466,Estimativa IBGE 2024
521523,5215231,Novo Gama,GO,107092,Estimativa IBGE 2024
521560,5215603,Padre Bernardo,GO,36692,Estimativa IBGE 2024
521730,5217302,Pirenópolis,GO,27757,Estimativa IBGE 2024
521760,5217609,Planaltina,GO,110619,Estimativa IBGE 2024
521975,5219753,Santo Antônio do Descoberto,GO,74614,Estimativa IBGE 2024
522068,5220686,Simolândia,GO,5693,Estimativa IBGE 2024
522000,5220009,São João d'Aliança,GO,14757,Estimativa IBGE 2024
522185,5221858,Valparaíso de Goiás,GO,213506,Estimativa IBGE 2024
522220,5222203,Vila Boa,GO,4185,Estimativa IBGE 2024
522230,5222302,Vila Propício,GO,5982,Estimativa IBGE 2024
520017,5200175,Água Fria de Goiás,GO,4991,Estimativa IBGE 2024
520025,5200258,Águas Lindas de Goiás,GO,240613,Estimativa IBGE 2024
310450,3104502,Arinos,MG,17598,Estimativa IBGE 2024
310930,3109303,Buritis,MG,24693,Estimativa IBGE 2024
310945,3109451,Cabeceira Grande,MG,6797,Estimativa IBGE 2024
317040,3170404,Unaí,MG,90724,Estimativa IBGE 2024
